Date,Category,Amount,Description
2024-06-01 00:00:00,Food,250.0,Lunch at KFC
2024-06-02 00:00:00,Transport,100.0,Auto to office
2024-06-03 00:00:00,Groceries,750.0,Weekly grocery shopping
2024-06-04 00:00:00,Food,120.0,Coffee and snack
2024-06-05 00:00:00,Entertainment,300.0,Movie tickets
2024-06-06 00:00:00,Food,80.0,Quick breakfast
2024-06-07 00:00:00,Utilities,800.0,Electricity bill
2024-06-08 00:00:00,Miscellaneous,50.0,Parking fee
2024-06-09 00:00:00,Food,180.0,Dinner out
2024-06-10 00:00:00,Transport,60.0,Bus fare
2024-06-11 00:00:00,Shopping,450.0,New book
2024-06-12 00:00:00,Food,90.0,Lunch at work
2024-06-13 00:00:00,Health,200.0,Pharmacy purchase
2024-06-14 00:00:00,Entertainment,150.0,Streaming service rental
2024-06-15 00:00:00,Food,320.0,Weekend groceries
2024-06-16 00:00:00,Miscellaneous,70.0,Car wash
2024-06-17 00:00:00,Transport,110.0,Cab ride
2024-06-18 00:00:00,Food,100.0,Snacks
2024-06-19 00:00:00,Shopping,600.0,Clothes
2024-06-20 00:00:00,Food,250.0,Dinner with friends
2024-06-21 00:00:00,Utilities,150.0,Phone bill
2024-06-22 00:00:00,Entertainment,200.0,Concert ticket
2024-06-23 00:00:00,Food,130.0,Brunch
2024-06-24 00:00:00,Transport,80.0,Metro fare
2024-06-25 00:00:00,Education,1500.0,Online course fee
2024-06-26 00:00:00,Food,70.0,Coffee
2024-06-27 00:00:00,Health,300.0,Gym session
2024-06-28 00:00:00,Miscellaneous,100.0,Parking fee
2024-06-29 00:00:00,Food,200.0,Takeaway
2024-06-30 00:00:00,Shopping,300.0,Gift
2024-07-01 00:00:00,Rent,10000.0,Monthly rent payment
2024-07-02 00:00:00,Food,150.0,Lunch
2024-07-03 00:00:00,Transport,90.0,Auto fare
2024-07-04 00:00:00,Groceries,600.0,Mid-week groceries
2024-07-05 00:00:00,Entertainment,400.0,Theme park entry
